Aanbieding in €,Adres,Categorie,Conclusie,Eindcijfer,Gewicht (gram),Naam,Nevenvestiging,Opmerking,Plaats,Plaats op ranglijst,Prijs per stuk in €,Vet in %
"10 voor  9,50",Langestraat 91,(Ruim) Voldoende," Keurig bolletje zonder opvallend negatieve of positieve eigenschappen. De een zou hem graag iets luchtiger zien, de ander wil iets meer vulling. Alleen wat kleinigheden dus.",7.5,85.7,Meesterbakker Roodenrijs,True,* nevenvestiging (bakker heeft meerdere filialen. De oliebollen zijn gekocht in andere vestiging),s-Gravenzande,30,1,14.6
"10 voor  9,50",Plein 1,(Ruim) Voldoende," Keurig bolletje zonder opvallend negatieve of positieve eigenschappen. De een zou hem graag iets luchtiger zien, de ander wil iets meer vulling. Alleen wat kleinigheden dus.",7.5,85.7,Meesterbakker Roodenrijs,True,* nevenvestiging (bakker heeft meerdere filialen. De oliebollen zijn gekocht in andere vestiging),Wateringen,30,1,14.6
"10 voor  9,50",Vliethof 61,(Ruim) Voldoende," Keurig bolletje zonder opvallend negatieve of positieve eigenschappen. De een zou hem graag iets luchtiger zien, de ander wil iets meer vulling. Alleen wat kleinigheden dus.",7.5,85.7,Meesterbakker Roodenrijs,True,* nevenvestiging (bakker heeft meerdere filialen. De oliebollen zijn gekocht in andere vestiging),Wateringen,30,1,14.6
"10 voor  9,50",Rembrandtstraat 18a,(Ruim) Voldoende," Keurig bolletje zonder opvallend negatieve of positieve eigenschappen. De een zou hem graag iets luchtiger zien, de ander wil iets meer vulling. Alleen wat kleinigheden dus.",7.5,85.7,Meesterbakker Roodenrijs,True,* nevenvestiging (bakker heeft meerdere filialen. De oliebollen zijn gekocht in andere vestiging),Naaldwijk,30,1,14.6
"10 voor  9,50",Kwintrum 2,(Ruim) Voldoende," Keurig bolletje zonder opvallend negatieve of positieve eigenschappen. De een zou hem graag iets luchtiger zien, de ander wil iets meer vulling. Alleen wat kleinigheden dus.",7.5,85.7,Meesterbakker Roodenrijs,True,* nevenvestiging (bakker heeft meerdere filialen. De oliebollen zijn gekocht in andere vestiging),Kwintheul,30,1,14.6
"10 voor  9,50",Frederik hendriklaan 109,(Ruim) Voldoende," Keurig bolletje zonder opvallend negatieve of positieve eigenschappen. De een zou hem graag iets luchtiger zien, de ander wil iets meer vulling. Alleen wat kleinigheden dus.",7.5,85.7,Meesterbakker Roodenrijs,True,* nevenvestiging (bakker heeft meerdere filialen. De oliebollen zijn gekocht in andere vestiging),Den Haag,30,1,14.6
"10 voor  9,50",Frederik hendriklaan 281,(Ruim) Voldoende," Keurig bolletje zonder opvallend negatieve of positieve eigenschappen. De een zou hem graag iets luchtiger zien, de ander wil iets meer vulling. Alleen wat kleinigheden dus.",7.5,85.7,Meesterbakker Roodenrijs,True,* nevenvestiging (bakker heeft meerdere filialen. De oliebollen zijn gekocht in andere vestiging),Den Haag,30,1,14.6
"10 voor  9,50",Keizerstraat 183,(Ruim) Voldoende," Keurig bolletje zonder opvallend negatieve of positieve eigenschappen. De een zou hem graag iets luchtiger zien, de ander wil iets meer vulling. Alleen wat kleinigheden dus.",7.5,85.7,Meesterbakker Roodenrijs,True,* nevenvestiging (bakker heeft meerdere filialen. De oliebollen zijn gekocht in andere vestiging),Den Haag,30,1,14.6
"10 voor  9,50",Weimarstraat 147,(Ruim) Voldoende," Keurig bolletje zonder opvallend negatieve of positieve eigenschappen. De een zou hem graag iets luchtiger zien, de ander wil iets meer vulling. Alleen wat kleinigheden dus.",7.5,85.7,Meesterbakker Roodenrijs,True,* nevenvestiging (bakker heeft meerdere filialen. De oliebollen zijn gekocht in andere vestiging),Den Haag,30,1,14.6
"10 voor  9,50",Loosduinse Hoofdplein 189,(Ruim) Voldoende," Keurig bolletje zonder opvallend negatieve of positieve eigenschappen. De een zou hem graag iets luchtiger zien, de ander wil iets meer vulling. Alleen wat kleinigheden dus.",7.5,85.7,Meesterbakker Roodenrijs,True,* nevenvestiging (bakker heeft meerdere filialen. De oliebollen zijn gekocht in andere vestiging),Den Haag,30,1,14.6
"10 voor  9,50",Fahrenheitstraat 555,(Ruim) Voldoende," Keurig bolletje zonder opvallend negatieve of positieve eigenschappen. De een zou hem graag iets luchtiger zien, de ander wil iets meer vulling. Alleen wat kleinigheden dus.",7.5,85.7,Meesterbakker Roodenrijs,True,* nevenvestiging (bakker heeft meerdere filialen. De oliebollen zijn gekocht in andere vestiging),Den Haag,30,1,14.6
"10 voor  9,50",Goudsbloemlaan 110,(Ruim) Voldoende," Keurig bolletje zonder opvallend negatieve of positieve eigenschappen. De een zou hem graag iets luchtiger zien, de ander wil iets meer vulling. Alleen wat kleinigheden dus.",7.5,85.7,Meesterbakker Roodenrijs,True,* nevenvestiging (bakker heeft meerdere filialen. De oliebollen zijn gekocht in andere vestiging),Den Haag,30,1,14.6
"10 voor  9,50",Badhuiswstraat 66,(Ruim) Voldoende," Keurig bolletje zonder opvallend negatieve of positieve eigenschappen. De een zou hem graag iets luchtiger zien, de ander wil iets meer vulling. Alleen wat kleinigheden dus.",7.5,85.7,Meesterbakker Roodenrijs,True,* nevenvestiging (bakker heeft meerdere filialen. De oliebollen zijn gekocht in andere vestiging),Den Haag,30,1,14.6
"10 voor  9,50",Herenstraat 91,(Ruim) Voldoende," Keurig bolletje zonder opvallend negatieve of positieve eigenschappen. De een zou hem graag iets luchtiger zien, de ander wil iets meer vulling. Alleen wat kleinigheden dus.",7.5,85.7,Meesterbakker Roodenrijs,True,* nevenvestiging (bakker heeft meerdere filialen. De oliebollen zijn gekocht in andere vestiging),Rijswijk,30,1,14.6
"10 voor  9,50",Prins constantijnpromenade 8,(Ruim) Voldoende," Keurig bolletje zonder opvallend negatieve of positieve eigenschappen. De een zou hem graag iets luchtiger zien, de ander wil iets meer vulling. Alleen wat kleinigheden dus.",7.5,85.7,Meesterbakker Roodenrijs,True,* nevenvestiging (bakker heeft meerdere filialen. De oliebollen zijn gekocht in andere vestiging),Rijswijk,30,1,14.6
"10 voor  9,50",Prinses Irenelaan 353,(Ruim) Voldoende," Keurig bolletje zonder opvallend negatieve of positieve eigenschappen. De een zou hem graag iets luchtiger zien, de ander wil iets meer vulling. Alleen wat kleinigheden dus.",7.5,85.7,Meesterbakker Roodenrijs,True,* nevenvestiging (bakker heeft meerdere filialen. De oliebollen zijn gekocht in andere vestiging),Rijswijk,30,1,14.6
"10 voor  9,50",Berberis 6,(Ruim) Voldoende," Keurig bolletje zonder opvallend negatieve of positieve eigenschappen. De een zou hem graag iets luchtiger zien, de ander wil iets meer vulling. Alleen wat kleinigheden dus.",7.5,85.7,Meesterbakker Roodenrijs,True,* nevenvestiging (bakker heeft meerdere filialen. De oliebollen zijn gekocht in andere vestiging),Leidschendam,30,1,14.6
"10 voor  9,50",Westeinde 2,(Ruim) Voldoende," Keurig bolletje zonder opvallend negatieve of positieve eigenschappen. De een zou hem graag iets luchtiger zien, de ander wil iets meer vulling. Alleen wat kleinigheden dus.",7.5,85.7,Meesterbakker Roodenrijs,True,* nevenvestiging (bakker heeft meerdere filialen. De oliebollen zijn gekocht in andere vestiging),Maassluis,30,1,14.6
"10 voor  9,50",Koningshoek 91103,(Ruim) Voldoende," Keurig bolletje zonder opvallend negatieve of positieve eigenschappen. De een zou hem graag iets luchtiger zien, de ander wil iets meer vulling. Alleen wat kleinigheden dus.",7.5,85.7,Meesterbakker Roodenrijs,True,* nevenvestiging (bakker heeft meerdere filialen. De oliebollen zijn gekocht in andere vestiging),Maassluis,30,1,14.6
"12 voor  10,00",Biltstraat 54,(Ruim) Voldoende, Neplenbroek is gaan experimenteren met de receptuur. Dat leidt tot verdeelde reacties: van ‘de bol is te geel’ en ‘de appel is te zuur’ tot ‘prima’ en ‘frisse smaak’. Voer voor discussie!,7.5,99.7,Bakkerij Neplenbroek - Biltstraat,True,* nevenvestiging (bakker heeft meerdere filialen. De oliebollen zijn gekocht in andere vestiging),Utrecht,38,1,13.1
"12 voor  10,00",Ina Boudier-Bakkerhof 66,(Ruim) Voldoende, Neplenbroek is gaan experimenteren met de receptuur. Dat leidt tot verdeelde reacties: van ‘de bol is te geel’ en ‘de appel is te zuur’ tot ‘prima’ en ‘frisse smaak’. Voer voor discussie!,7.5,99.7,Bakkerij Neplenbroek - IBB,True,* nevenvestiging (bakker heeft meerdere filialen. De oliebollen zijn gekocht in andere vestiging),Utrecht,38,1,13.1
"12 voor  10,00",Troosterhof 30,(Ruim) Voldoende, Neplenbroek is gaan experimenteren met de receptuur. Dat leidt tot verdeelde reacties: van ‘de bol is te geel’ en ‘de appel is te zuur’ tot ‘prima’ en ‘frisse smaak’. Voer voor discussie!,7.5,99.7,Bakkerij Neplenbroek - Wc. De gaard,True,* nevenvestiging (bakker heeft meerdere filialen. De oliebollen zijn gekocht in andere vestiging),Utrecht,38,1,13.1
"12 voor  10,00",Hasebroekstraat 1,(Ruim) Voldoende, Neplenbroek is gaan experimenteren met de receptuur. Dat leidt tot verdeelde reacties: van ‘de bol is te geel’ en ‘de appel is te zuur’ tot ‘prima’ en ‘frisse smaak’. Voer voor discussie!,7.5,99.7,Bakkerij Neplenbroek - Vleutenseweg,True,* nevenvestiging (bakker heeft meerdere filialen. De oliebollen zijn gekocht in andere vestiging),Utrecht,38,1,13.1
"12 voor  10,00",Meester de klerkstraat 11-13,(Ruim) Voldoende, Neplenbroek is gaan experimenteren met de receptuur. Dat leidt tot verdeelde reacties: van ‘de bol is te geel’ en ‘de appel is te zuur’ tot ‘prima’ en ‘frisse smaak’. Voer voor discussie!,7.5,99.7,Bakkerij Neplenbroek - Belcour (Zeist),True,* nevenvestiging (bakker heeft meerdere filialen. De oliebollen zijn gekocht in andere vestiging),Zeist,38,1,13.1
"10 voor  9,50",Dr. Struyckenplein 1a,(Ruim) Voldoende," Een beetje een allemansvriend, deze oliebol. En op zich is daar niks mis mee. Niet iedereen kan de smaak van de olie waarderen. Maar er is ook de opmerking ‘lekker fris’.",7,94,Meesterbakker van Iersel Dr. Struyckenplein,True,* nevenvestiging (bakker heeft meerdere filialen. De oliebollen zijn gekocht in andere vestiging),Breda,44,1,13.3
"10 voor  9,50",Dalempromenade 35,(Ruim) Voldoende," Een beetje een allemansvriend, deze oliebol. En op zich is daar niks mis mee. Niet iedereen kan de smaak van de olie waarderen. Maar er is ook de opmerking ‘lekker fris’.",7,94,Meesterbakker van Iersel Dalempromenade,True,* nevenvestiging (bakker heeft meerdere filialen. De oliebollen zijn gekocht in andere vestiging),Tilburg,44,1,13.3
"10 voor  9,50",Slimstraat 27,(Ruim) Voldoende," Een beetje een allemansvriend, deze oliebol. En op zich is daar niks mis mee. Niet iedereen kan de smaak van de olie waarderen. Maar er is ook de opmerking ‘lekker fris’.",7,94,Meesterbakker van Iersel Slimstraat ,True,* nevenvestiging (bakker heeft meerdere filialen. De oliebollen zijn gekocht in andere vestiging),Udenhout,44,1,13.3
"10 voor  9,50",Everjachtstraat 47,(Ruim) Voldoende," Een beetje een allemansvriend, deze oliebol. En op zich is daar niks mis mee. Niet iedereen kan de smaak van de olie waarderen. Maar er is ook de opmerking ‘lekker fris’.",7,94,Meesterbakker van Iersel Everjachtstraat,True,* nevenvestiging (bakker heeft meerdere filialen. De oliebollen zijn gekocht in andere vestiging),Tilburg,44,1,13.3
"10 voor  9,50",Westermarkt 116,(Ruim) Voldoende," Een beetje een allemansvriend, deze oliebol. En op zich is daar niks mis mee. Niet iedereen kan de smaak van de olie waarderen. Maar er is ook de opmerking ‘lekker fris’.",7,94,Meesterbakker van Iersel Westermarkt,True,* nevenvestiging (bakker heeft meerdere filialen. De oliebollen zijn gekocht in andere vestiging),Tilburg,44,1,13.3
"10 voor  9,50",Hasseltstraat 166,(Ruim) Voldoende," Een beetje een allemansvriend, deze oliebol. En op zich is daar niks mis mee. Niet iedereen kan de smaak van de olie waarderen. Maar er is ook de opmerking ‘lekker fris’.",7,94,Meesterbakker van Iersel Hasseltstraat,True,* nevenvestiging (bakker heeft meerdere filialen. De oliebollen zijn gekocht in andere vestiging),Tilburg,44,1,13.3
"10 voor  9,50",Julianapark 29,(Ruim) Voldoende," Een beetje een allemansvriend, deze oliebol. En op zich is daar niks mis mee. Niet iedereen kan de smaak van de olie waarderen. Maar er is ook de opmerking ‘lekker fris’.",7,94,Meesterbakker van Iersel Julianapark,True,* nevenvestiging (bakker heeft meerdere filialen. De oliebollen zijn gekocht in andere vestiging),Tilburg,44,1,13.3
"10 voor  9,50",Wilhelminapark 98,(Ruim) Voldoende," Een beetje een allemansvriend, deze oliebol. En op zich is daar niks mis mee. Niet iedereen kan de smaak van de olie waarderen. Maar er is ook de opmerking ‘lekker fris’.",7,94,Meesterbakker van Iersel Wilhelminapark,True,* nevenvestiging (bakker heeft meerdere filialen. De oliebollen zijn gekocht in andere vestiging),Tilburg,44,1,13.3
"10 voor  9,50",Enschotsestraat 145,(Ruim) Voldoende," Een beetje een allemansvriend, deze oliebol. En op zich is daar niks mis mee. Niet iedereen kan de smaak van de olie waarderen. Maar er is ook de opmerking ‘lekker fris’.",7,94,Meesterbakker van Iersel Enschotsestraat,True,* nevenvestiging (bakker heeft meerdere filialen. De oliebollen zijn gekocht in andere vestiging),Tilburg,44,1,13.3
"10 voor  9,50",Bredaseweg 269-271,(Ruim) Voldoende," Een beetje een allemansvriend, deze oliebol. En op zich is daar niks mis mee. Niet iedereen kan de smaak van de olie waarderen. Maar er is ook de opmerking ‘lekker fris’.",7,94,Meesterbakker van Iersel Bredaseweg,True,* nevenvestiging (bakker heeft meerdere filialen. De oliebollen zijn gekocht in andere vestiging),Tilburg,44,1,13.3
"10 voor  9,50",Danie Theronstraat 2,(Ruim) Voldoende," Een beetje een allemansvriend, deze oliebol. En op zich is daar niks mis mee. Niet iedereen kan de smaak van de olie waarderen. Maar er is ook de opmerking ‘lekker fris’.",7,94,Meesterbakker van Iersel Danie Theronstraat,True,* nevenvestiging (bakker heeft meerdere filialen. De oliebollen zijn gekocht in andere vestiging),Tilburg,44,1,13.3
"10 voor  9,50",Hertogstraat 60,(Ruim) Voldoende," Een beetje een allemansvriend, deze oliebol. En op zich is daar niks mis mee. Niet iedereen kan de smaak van de olie waarderen. Maar er is ook de opmerking ‘lekker fris’.",7,94,Meesterbakker van Iersel Hertogstraat,True,* nevenvestiging (bakker heeft meerdere filialen. De oliebollen zijn gekocht in andere vestiging),Tilburg,44,1,13.3
"10 voor  9,50",Dorpsstraat 23,(Ruim) Voldoende," Een beetje een allemansvriend, deze oliebol. En op zich is daar niks mis mee. Niet iedereen kan de smaak van de olie waarderen. Maar er is ook de opmerking ‘lekker fris’.",7,94,Meesterbakker van Iersel Dorpsstraat,True,* nevenvestiging (bakker heeft meerdere filialen. De oliebollen zijn gekocht in andere vestiging),Goirle,44,1,13.3
-,Dorpsstraat 63,(Ruim) Voldoende," Het werken met smaakaccenten is een kunst op zich. Te veel en het overheerst, te weinig en je hebt er niets aan. Veel panelleden hebben het over een te uitgesproken vruchtensmaak.",7,96.6,Jongerius Bleiswijk,True,* nevenvestiging (bakker heeft meerdere filialen. De oliebollen zijn gekocht in andere vestiging),Bleiswijk,41,0.95,13.8
-,Kentgensplein 7,(Ruim) Voldoende," Het werken met smaakaccenten is een kunst op zich. Te veel en het overheerst, te weinig en je hebt er niets aan. Veel panelleden hebben het over een te uitgesproken vruchtensmaak.",7,96.6,Jongerius Buytenwegh,True,* nevenvestiging (bakker heeft meerdere filialen. De oliebollen zijn gekocht in andere vestiging),Zoetermeer,41,0.95,13.8
-,Broekwegzijde 124,(Ruim) Voldoende," Het werken met smaakaccenten is een kunst op zich. Te veel en het overheerst, te weinig en je hebt er niets aan. Veel panelleden hebben het over een te uitgesproken vruchtensmaak.",7,96.6,Jongerius Bakker - Winkelcentrum de Leyens,True,* nevenvestiging (bakker heeft meerdere filialen. De oliebollen zijn gekocht in andere vestiging),Zoetermeer,41,0.95,13.8
-,Middelwaard 90,(Ruim) Voldoende," Het werken met smaakaccenten is een kunst op zich. Te veel en het overheerst, te weinig en je hebt er niets aan. Veel panelleden hebben het over een te uitgesproken vruchtensmaak.",7,96.6,Jongerius Bakker - Winkelcentrum Meerzicht,True,* nevenvestiging (bakker heeft meerdere filialen. De oliebollen zijn gekocht in andere vestiging),Zoetermeer,41,0.95,13.8
-,Lijnbaan 283,(Ruim) Voldoende," Het werken met smaakaccenten is een kunst op zich. Te veel en het overheerst, te weinig en je hebt er niets aan. Veel panelleden hebben het over een te uitgesproken vruchtensmaak.",7,96.6,Jongerius Bakker - Winkelcentrum Noordhove,True,* nevenvestiging (bakker heeft meerdere filialen. De oliebollen zijn gekocht in andere vestiging),Zoetermeer,41,0.95,13.8
-,Oosterheemplein 544,(Ruim) Voldoende," Het werken met smaakaccenten is een kunst op zich. Te veel en het overheerst, te weinig en je hebt er niets aan. Veel panelleden hebben het over een te uitgesproken vruchtensmaak.",7,96.6,Jongerius Oosterheem,True,* nevenvestiging (bakker heeft meerdere filialen. De oliebollen zijn gekocht in andere vestiging),Zoetermeer,41,0.95,13.8
-,Quirinegang 77,(Ruim) Voldoende," Het werken met smaakaccenten is een kunst op zich. Te veel en het overheerst, te weinig en je hebt er niets aan. Veel panelleden hebben het over een te uitgesproken vruchtensmaak.",7,96.6,Jongerius Bakker - Winkelcentrum Rokkeveen,True,* nevenvestiging (bakker heeft meerdere filialen. De oliebollen zijn gekocht in andere vestiging),Zoetermeer,41,0.95,13.8
-,Petuniatuin 3,(Ruim) Voldoende," Het werken met smaakaccenten is een kunst op zich. Te veel en het overheerst, te weinig en je hebt er niets aan. Veel panelleden hebben het over een te uitgesproken vruchtensmaak.",7,96.6,Jongerius Bakker - Winkelcentrum Seghwaert,True,* nevenvestiging (bakker heeft meerdere filialen. De oliebollen zijn gekocht in andere vestiging),Zoetermeer,41,0.95,13.8
-,Promenade 201,(Ruim) Voldoende," Het werken met smaakaccenten is een kunst op zich. Te veel en het overheerst, te weinig en je hebt er niets aan. Veel panelleden hebben het over een te uitgesproken vruchtensmaak.",7,96.6,Jongerius Stadshart,True,* nevenvestiging (bakker heeft meerdere filialen. De oliebollen zijn gekocht in andere vestiging),Zoetermeer,41,0.95,13.8
-,Groen blauwlaan 111,(Ruim) Voldoende," Het werken met smaakaccenten is een kunst op zich. Te veel en het overheerst, te weinig en je hebt er niets aan. Veel panelleden hebben het over een te uitgesproken vruchtensmaak.",7,96.6,Jongerius Bakker - Winkelcentrum de Vlieger,True,* nevenvestiging (bakker heeft meerdere filialen. De oliebollen zijn gekocht in andere vestiging),Zoetermeer,41,0.95,13.8
